fecha,titulo,estado,fenomeno,mes,mes_es
2000-06-02,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la ocurrencia de las fuertes lluvias registradas el 31 de mayo en los municipios de Chalco, Valle de Chalco Solidaridad e Ixtapaluca",,lluvia,6,junio
2000-08-16,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la inminente presencia de los efectos de la tormenta tropical Beryl sobre las costas del Estado de Tamaulipas",Tamaulipas,tormenta,8,agosto
2000-09-19,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la Tormenta Tropical Miriam en el Océano Pacífico y sus posibles efectos en las costas del Estado de Baja California Sur",Baja California Sur,tormenta,9,septiembre
2000-09-22,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la Depresión Tropical Norman en el Océano Pacífico y sus posibles efectos en la costa del Estado de Colima",Colima,depresión tropical,9,septiembre
2000-09-22,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la Depresión Tropical Norman en el Océano Pacífico y sus posibles efectos en la costa del Estado de Guerrero",Guerrero,depresión tropical,9,septiembre
2000-09-22,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la Depresión Tropical Norman en el Océano Pacífico y sus posibles efectos en la costa del Estado de Michoacán",Michoacán,depresión tropical,9,septiembre
2000-09-29,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las fuertes lluvias ocurridas en el Estado de Coahuila y sus efectos en diversos municipios de dicha entidad",Coahuila,lluvia,9,septiembre
2000-10-04,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Keith del Océano Atlántico y sus posibles efectos en diversos municipios del Estado de Quintana Roo",Quintana Roo,huracán,10,octubre
2000-10-09,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Keith del Océano Atlántico y sus posibles efectos en diversos municipios del Estado de Tamaulipas",Tamaulipas,huracán,10,octubre
2000-10-30,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de lluvias intensas, escurrimientos y probables avenidas de ríos y arroyos, así como inundaciones en diversos municipios del Estado de Sonora",Sonora,lluvia,10,octubre
2000-11-10,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la tormenta tropical Rosa del Océano Pacífico y sus posibles efectos en diversos municipios del Estado de Oaxaca",Oaxaca,tormenta,11,noviembre
2000-12-18,"Declaratoria de Emergencia Preventiva para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por el sensible incremento en la actividad del volcán Popocatépetl",,volcán,12,diciembre
2001-06-15,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las lluvias atípicas e impredecibles ocurridas durante los días 8 al 12 de junio en el Estado de Morelos",Morelos,lluvia,6,junio
2001-06-21,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las lluvias atípicas e impredecibles ocurridas durante el día 15 de junio en el Municipio de Pinos, Estado de Zacatecas",Zacatecas,lluvia,6,junio
2001-08-01,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), para la integración de una Reserva Estratégica que permita proveer a la Secretaría de Gobernación de materiales de protección a la vida, salud y albergue temporal, para responder de forma inmediata a las necesidades urgentes generadas por un desastre natural o para realizar acciones previas ante la inminencia o alta probabilidad, de que ocurra un desastre natural",,,8,agosto
2001-08-23,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la tormenta tropical Chantal, y sus posibles efectos en los municipios de Othón P. Blanco y Felipe Carrillo Puerto del Estado de Quintana Roo",Quintana Roo,tormenta,8,agosto
2001-09-13,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las lluvias intensas ocurridas en el Municipio de Piedras Negras, en el Estado de Coahuila",Coahuila,lluvia,9,septiembre
2001-09-27,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las lluvias intensas ocurridas en el Municipio de Tapachula en el Estado de Chiapas",Chiapas,lluvia,9,septiembre
2001-10-02,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Juliette y sus posibles efectos en los municipios de Los Cabos, La Paz, Comondú, Loreto y Mulegé en el Estado de Baja California Sur",Baja California Sur,huracán,10,octubre
2001-10-09,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la depresión tropical Juliette y sus posibles efectos en los municipios de Guaymas, Empalme, Cajeme, San Ignacio Río Muerto, Bácum, Benito Juárez, Etchojoa, Alamos, Navojoa, Quiriego, Rosario de Tesopaco, Huatabampo, Sahuaripa, Puerto Peñasco, Benjamín Hill, Hermosillo, Caborca, Magdalena de Kino, Santa Ana, Imuris, Suaqui Grande, Moctezuma, Arizpe, Huasabas y Nogales en el Estado de Sonora",Sonora,depresión tropical,10,octubre
2001-10-10,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Iris y sus posibles efectos en el Municipio de Othón P. Blanco en el Estado de Quintana Roo",Quintana Roo,huracán,10,octubre
2001-10-12,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de la tormenta tropical Iris y sus posibles efectos en los municipios de Copainalá, Tecpatán, Juárez, Reforma, Arriaga, Pijijiapan, Angel A. Corzo, La Concordia, Villa Flores, Mapastepec, Motozintla, Acacoyagua, Escuintla, Tonalá, Villacomaltitlán, Acapetahua, Ostuacán, Montecristo de Guerrero y Ocosingo en el Estado de Chiapas",Guerrero,tormenta,10,octubre
2001-12-17,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del fenómeno meteorológico denominado Marea Roja y sus posibles efectos en la salud de población ubicada en diversos municipios costeros del Estado de Guerrero",Guerrero,marea roja,12,diciembre
2001-12-17,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del fenómeno meteorológico denominado Marea Roja y sus posibles efectos en la salud de población ubicada en diversos municipios costeros del Estado de Veracruz",Veracruz,marea roja,12,diciembre
2001-12-21,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de heladas y nevadas severas en Aguascalientes, Baja California, Coahuila, Chihuahua, Distrito Federal, Durango, Hidalgo, México, Puebla, San Luis Potosí, Tlaxcala, Nuevo León y Zacatecas, y sus posibles efectos en la salud de la población ubicada en esas entidades federativas",Aguascalientes,helada,12,diciembre
2001-12-31,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de bajas temperaturas y nevadas y sus posibles efectos en la salud de población ubicada en diversos municipios del Estado de Chihuahua",Chihuahua,bajas temperaturas,12,diciembre
2002-01-18,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de bajas temperaturas y nevadas y sus posibles efectos en la salud de población ubicada en los municipios de Guachochi y Guadalupe y Calvo del Estado de Chihuahua",Chihuahua,bajas temperaturas,1,enero
2002-02-15,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del frente frío número 31 y sus posibles efectos en la población ubicada en diversos municipios del Estado de Durango",Durango,frente frío,2,febrero
2002-02-15,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia de bajas temperaturas y nevadas y sus posibles efectos en la población ubicada en diversos municipios del Estado de Zacatecas",Zacatecas,bajas temperaturas,2,febrero
2002-08-23,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las lluvias torrenciales y/o inundación y sus posibles efectos en la población ubicada en diversos municipios del Estado de Durango",Durango,lluvia,8,agosto
2002-08-23,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las inundaciones y sus posibles efectos en la población ubicada en los municipios de Villa de Arriaga y Villa de Reyes del Estado de San Luis Potosí",San Luis Potosí,inundación,8,agosto
2002-08-23,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las inundaciones y sus posibles efectos en la población ubicada en los municipios de Jerez, Villa García y Villanueva del Estado de Zacatecas",Zacatecas,inundación,8,agosto
2002-09-26,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por las lluvias torrenciales y sus posibles efectos en la población ubicada en diversos municipios del Estado de Hidalgo",Hidalgo,lluvia,9,septiembre
2002-09-27,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Isidore y sus posibles efectos en la población ubicada en diversos municipios del Estado de Yucatán",Yucatán,huracán,9,septiembre
2002-10-11,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Isidore y sus posibles efectos en la población ubicada en diversos municipios del Estado de Quintana Roo",Quintana Roo,huracán,10,octubre
2002-10-18,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, por la presencia del huracán Isidore y sus posibles efectos en la población ubicada en diversos municipios del Estado de Chiapas",Chiapas,huracán,10,octubre
2002-10-30,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, por la presencia del huracán Kenna y sus posibles efectos en la población ubicada en diversos municipios del Estado de Jalisco",Jalisco,huracán,10,octubre
2002-10-30,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, por la presencia del huracán Kenna y sus posibles efectos en la población ubicada en diversos municipios del Estado de Nayarit",Nayarit,huracán,10,octubre
2002-10-31,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, por la presencia del huracán Kenna y sus posibles efectos en la población ubicada en diversos municipios del Estado de Sinaloa",Sinaloa,huracán,10,octubre
2002-10-31,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN), por la presencia del huracán Isidore y sus posibles efectos en la población ubicada en diversos municipios del Estado de Campeche",Campeche,huracán,10,octubre
2003-04-22,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños ocasionados por los incendios forestales ocurridos del 1 de enero al 27 de marzo de 2003, y sus posibles efectos en la población ubicada en diversos municipios del Estado de Oaxaca",Oaxaca,incendio,4,abril
2003-06-27,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas ocasionadas por el desbordamiento del río La Carbonera, a consecuencia de las lluvias torrenciales que se presentaron el 6 de junio de 2003 y sus efectos en la población del Municipio Río Blanco del Estado de Veracruz",Veracruz,inundación,6,junio
2003-06-27,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas ocasionadas por el desbordamiento del río Chiquito, a consecuencia de las lluvias torrenciales que se presentaron el 5 de junio de 2003 y sus efectos en la población de tres municipios del Estado de Veracruz",Veracruz,inundación,6,junio
2003-06-27,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas ocasionadas por las lluvias torrenciales que se presentaron el 14 y 15 de junio de 2003 y sus efectos en la población de tres municipios del Estado de Zacatecas",Zacatecas,inundación,6,junio
2003-07-03,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias torrenciales que ocasionaron el desbordamiento del río Alseseca el 11 de junio de 2003, que causaron inundaciones atípicas y sus efectos en la población del Municipio de Puebla, del Estado de Puebla",Puebla,lluvia,7,julio
2003-07-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños ocasionados por el sismo ocurrido el 21 de enero de 2003, y sus efectos en la población de diversos municipios del Estado de Colima",Colima,sismo,7,julio
2003-07-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por el sismo ocurrido el 21 de enero de 2003, y sus efectos en la población ubicada en diversos municipios del Estado de Jalisco",Jalisco,sismo,7,julio
2003-08-05,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas ocasionadas por las lluvias torrenciales que se presentaron del 4 al 7 de julio de 2003 y sus efectos en la población del Municipio de Abasolo, Gto.",,inundación,8,agosto
2003-08-11,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de las lluvias torrenciales ocurridas los días 16 y 17 de julio, y que afectaron a la población de 5 municipios del Estado de Oaxaca",Oaxaca,lluvia,8,agosto
2003-08-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, emitida en virtud de los daños ocasionados por las lluvias torrenciales ocurridas durante los días 28, 29 y 30 de junio de 2003, y sus efectos en la población de 3 municipios del Estado de Zacatecas",Zacatecas,lluvia,8,agosto
2003-08-29,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de las fuertes precipitaciones causadas por la tormenta tropical Carlos, los días 26 y 27 de junio y que afectaron a 79 municipios del Estado de Oaxaca",Oaxaca,lluvia,8,agosto
2003-10-08,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por la presencia de la marea roja ocurrida a partir del 1 de agosto de 2003 y sus efectos en la población de diversos municipios del Estado de Yucatán",Yucatán,marea roja,10,octubre
2003-10-24,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales, en virtud de los daños ocasionados por las heladas y nevadas que se presentaron del 16 al 26 de diciembre de 2002 y sus efectos en la población de diversos municipios del Estado de Chihuahua",Chihuahua,helada,10,octubre
